region_index,start_seconds,end_seconds,start_hms,end_hms,duration_seconds,z_threshold
1,25.0,345.0,0:25,5:45,320.0,0.0
2,785.0,855.0,13:05,14:15,70.0,0.0
3,925.0,1025.0,15:25,17:05,100.0,0.0
4,1325.0,1465.0,22:05,24:25,140.0,0.0
5,1915.0,2005.0,31:55,33:25,90.0,0.0
6,2315.0,2525.0,38:35,42:05,210.0,0.0
7,2565.0,2995.0,42:45,49:55,430.0,0.0
8,3305.0,3375.0,55:05,56:15,70.0,0.0
9,3435.0,3495.0,57:15,58:15,60.0,0.0
10,3765.0,4135.0,1:02:45,1:08:55,370.0,0.0
11,4205.0,4265.0,1:10:05,1:11:05,60.0,0.0
12,4725.0,4995.0,1:18:45,1:23:15,270.0,0.0
13,5165.0,5225.0,1:26:05,1:27:05,60.0,0.0
14,6135.0,6625.0,1:42:15,1:50:25,490.0,0.0
15,6885.0,7035.0,1:54:45,1:57:15,150.0,0.0
16,7245.0,7485.0,2:00:45,2:04:45,240.0,0.0
17,7575.0,7665.0,2:06:15,2:07:45,90.0,0.0
18,8075.0,8185.0,2:14:35,2:16:25,110.0,0.0
19,8415.0,8475.0,2:20:15,2:21:15,60.0,0.0
20,8715.0,8975.0,2:25:15,2:29:35,260.0,0.0
21,9255.0,9315.0,2:34:15,2:35:15,60.0,0.0
